E theta
0.1597 90
0.1597 145
0.16 36
0.1609 60
0.1999 90
0.1999 145
0.2 36
0.2 60
0.24 36
0.2404 60
0.2411 90
0.2411 145
0.2801 90
0.2801 145
0.2803 60
0.32 36
0.3201 145
0.3203 60
0.3207 90
0.3601 90
0.3601 145
0.3609 60
0.3997 145
0.4 36
0.4005 90
0.401 60
0.44 60
0.44 145
0.4794 90
0.4794 145
0.4798 60
0.48 36
0.5 60
0.5188 60
0.5193 90
0.5568 90
0.56 36
0.56 60
0.56 145
0.62 36
0.62 60
0.68 36
0.68 60
0.73 37.1
0.961 37.5
1.108 37.5
1.299 37.5
1.3 11.95
1.3 13.54
1.5 11.95
1.5 13.54
1.501 37.5
1.65 11.95
1.65 13.54
1.93 16
1.93 18
2.015 35.51
2.02 15.022
2.02 20.016
2.13 16
2.13 18
2.222 15.541
3.188 47.68
3.595 16.02
3.595 20.016
3.595 25.012
3.595 30.01
3.605 16.02
4.045 15
4.045 23
4.045 30
4.045 37
4.045 45
4.045 55
4.045 74
4.212 53.389
5.12 56.639
5.766 16
5.766 22
5.766 26
5.766 32
5.766 40
5.766 50
